setting,bank,dim,auc_wide,auc_reported,delta
halueval_qwen3b,PH_ENT,576,0.964171,0.964171,0.0
halueval_qwen3b,HIDDEN,2048,0.999733,0.999698,3.500000000000725e-05
halueval_qwen3b,NONTOPO,2738,0.999307,0.99978,-0.0004730000000000567
triviaqa_phi3,SINK,64,0.7102913015873016,0.7066453333333333,0.0036459682539682348
triviaqa_phi3,0D,64,0.7151593650793651,0.7104213333333333,0.004738031746031712
triviaqa_phi3,1D,128,0.5342923174603175,0.5456548571428571,-0.01136253968253964
triviaqa_phi3,DEFL,192,0.7065102222222223,0.6983730793650794,0.008137142857142843
triviaqa_phi3,ANS,192,0.7107067936507937,0.7095558095238095,0.0011509841269842225
triviaqa_phi3,LEN,2,0.579968,0.5807471746031746,-0.0007791746031745594
triviaqa_phi3,ROWSTAT,64,0.7360121904761905,0.7284073650793651,0.007604825396825388
triviaqa_phi3,LOGPROB,6,0.8707789206349207,0.877367873015873,-0.006588952380952362
triviaqa_phi3,LLMCHECK,32,0.6760055873015873,0.6761853968253968,-0.00017980952380947102
triviaqa_phi3,LOOKBACK,1024,0.8399024761904762,0.8399024761904762,0.0
triviaqa_phi3,PH_SINK,1024,0.8260998095238096,0.8260998095238096,0.0
triviaqa_phi3,PH_0D,2048,0.8171266031746032,0.8071690158730159,0.009957587301587245
triviaqa_phi3,PH_0DTOT,1024,0.8104899047619047,0.8104899047619047,0.0
triviaqa_phi3,PH_ENT,1024,0.8171814603174603,0.8171814603174603,0.0
triviaqa_phi3,HIDDEN,3072,0.8713884444444444,0.8670008888888889,0.004387555555555478
triviaqa_phi3,NONTOPO,4198,0.8858341587301587,0.8833554285714286,0.0024787301587301247
triviaqa_qwen1.5b,SINK,56,0.7095353382481291,0.7068021020965256,0.0027332361516034798
triviaqa_qwen1.5b,0D,56,0.7155774730274276,0.715635503518969,-5.803049154140538e-05
triviaqa_qwen1.5b,1D,112,0.5696725687545264,0.5743219717368294,-0.004649402982302986
triviaqa_qwen1.5b,DEFL,168,0.6612203116005274,0.6553290560992368,0.00589125550129066
triviaqa_qwen1.5b,ANS,168,0.694681853633173,0.6750721899314776,0.01960966370169548
triviaqa_qwen1.5b,LEN,2,0.5750543165400828,0.5879382462721212,-0.012883929732038446
triviaqa_qwen1.5b,ROWSTAT,56,0.7204914950511597,0.7204984587101446,-6.963658984893151e-06
triviaqa_qwen1.5b,LOGPROB,6,0.8219404003639672,0.8225079385712428,-0.0005675382072756197
triviaqa_qwen1.5b,LLMCHECK,28,0.6766158010064809,0.6761434328053333,0.00047236820114759936
triviaqa_qwen1.5b,LOOKBACK,336,0.8240411041577687,0.8240411041577687,0.0
triviaqa_qwen1.5b,PH_SINK,336,0.7671781861061076,0.7671781861061076,0.0
triviaqa_qwen1.5b,PH_0D,672,0.7663170136116321,0.7682157712948692,-0.0018987576832371067
triviaqa_qwen1.5b,PH_0DTOT,336,0.7593092514530835,0.7593092514530835,0.0
triviaqa_qwen1.5b,PH_ENT,336,0.7680997103117863,0.7680997103117863,0.0
triviaqa_qwen1.5b,HIDDEN,1536,0.8635262112124195,0.8551860689680786,0.008340142244340876
triviaqa_qwen1.5b,NONTOPO,1962,0.8744138920354311,0.8726021800895062,0.0018117119459248876
triviaqa_qwen3b,SINK,72,0.7254110984558928,0.7167649578028631,0.00864614065302971
triviaqa_qwen3b,0D,72,0.7330318594267903,0.7322080763488297,0.0008237830779606048
triviaqa_qwen3b,1D,144,0.6005900538170833,0.601118093653391,-0.0005280398363076699
triviaqa_qwen3b,DEFL,216,0.7048799681538765,0.6838617313361967,0.02101823681767989
triviaqa_qwen3b,ANS,216,0.7192025370472135,0.719238353702777,-3.581665556351421e-05
triviaqa_qwen3b,LEN,2,0.5630664787827249,0.5693773734930142,-0.006310894710289339
triviaqa_qwen3b,ROWSTAT,72,0.7230512925207659,0.7235107690449949,-0.00045947652422895224
triviaqa_qwen3b,LOGPROB,6,0.838595823368628,0.8388363066274116,-0.0002404832587835637
triviaqa_qwen3b,LLMCHECK,36,0.688955883090343,0.688415563257842,0.0005403198325009129
triviaqa_qwen3b,LOOKBACK,576,0.8614386629540145,0.8614386629540145,0.0
triviaqa_qwen3b,PH_SINK,576,0.819702025892372,0.819702025892372,0.0
triviaqa_qwen3b,PH_0D,1152,0.8083778227362083,0.8067885865622049,0.0015892361740034167
triviaqa_qwen3b,PH_0DTOT,576,0.8074097497029776,0.8074097497029776,0.0
triviaqa_qwen3b,PH_ENT,576,0.8097777423022332,0.8097777423022332,0.0
triviaqa_qwen3b,HIDDEN,2048,0.8508911695570708,0.8414591091476762,0.009432060409394594
triviaqa_qwen3b,NONTOPO,2738,0.8755995452308076,0.8696703537355237,0.005929191495283925
truthfulqa_qwen7b,SINK,56,0.7493756451417177,0.7492677781955958,0.00010786694612197056
truthfulqa_qwen7b,0D,56,0.6828741747055007,0.6793670008045076,0.003507173900993088
truthfulqa_qwen7b,1D,112,0.6105074390739024,0.6102857125735406,0.0002217265003617852
truthfulqa_qwen7b,DEFL,168,0.7025074570517267,0.6971260949618645,0.005381362089862174
truthfulqa_qwen7b,ANS,168,0.758740593477945,0.7411882443006551,0.017552349177289872
truthfulqa_qwen7b,LEN,2,0.5310214849982546,0.5287712606499883,0.002250224348266383
truthfulqa_qwen7b,ROWSTAT,56,0.745132878594254,0.7362413462993398,0.00889153229491424
truthfulqa_qwen7b,LOGPROB,6,0.6739541775220266,0.6737669085183426,0.00018726900368393196
triviaqa_qwen7b,SINK,56,0.7134309954671879,0.7136331654921789,-0.00020217002499101078
triviaqa_qwen7b,0D,56,0.6669008636263097,0.6675414023193506,-0.0006405386930408152
triviaqa_qwen7b,1D,112,0.5768621410606319,0.5815370726781223,-0.00467493161749033
triviaqa_qwen7b,DEFL,168,0.6725145847657881,0.6717779652687911,0.000736619496996993
triviaqa_qwen7b,ANS,168,0.7553752706025768,0.7553752706025768,0.0
triviaqa_qwen7b,LEN,2,0.5913973651841199,0.5947011436618196,-0.0033037784776996926
triviaqa_qwen7b,ROWSTAT,56,0.7330795198762159,0.7343856183049945,-0.0013060984287786015
triviaqa_qwen7b,LOGPROB,6,0.8468021606170789,0.8472014964585216,-0.00039933584144269396
triviaqa_tinyllama,SINK,44,0.7279816679018445,0.7203222784914362,0.007659389410408335
triviaqa_tinyllama,0D,44,0.7262151062252964,0.7196339241600791,0.006581182065217295
triviaqa_tinyllama,1D,88,0.6589583847990778,0.6586688899868248,0.00028949481225293283
triviaqa_tinyllama,DEFL,132,0.7312934885540184,0.7259590641469038,0.005334424407114624
triviaqa_tinyllama,ANS,132,0.7432013751646904,0.7005620059288538,0.042639369235836666
triviaqa_tinyllama,LEN,2,0.6280506319993412,0.6307332839262187,-0.002682651926877555
triviaqa_tinyllama,ROWSTAT,44,0.7536283349802372,0.7519119524044796,0.001716382575757569
triviaqa_tinyllama,LOGPROB,6,0.7238862812911726,0.7237138710474308,0.00017241024374181624
triviaqa_tinyllama,LLMCHECK,22,0.6866688282279315,0.6877418889986825,-0.0010730607707509776
triviaqa_tinyllama,LOOKBACK,704,0.8233592720685112,0.8233592720685112,0.0
triviaqa_tinyllama,PH_SINK,704,0.8135447546113307,0.8135447546113307,0.0
triviaqa_tinyllama,PH_0D,1408,0.7748618144762845,0.7750174983530962,-0.00015568387681164086
triviaqa_tinyllama,PH_0DTOT,704,0.7915225625823452,0.7915225625823452,0.0
triviaqa_tinyllama,PH_ENT,704,0.8072800868741765,0.8072800868741765,0.0
triviaqa_tinyllama,HIDDEN,2048,0.8303946393280632,0.8271908967391305,0.0032037425889327453
triviaqa_tinyllama,NONTOPO,2824,0.8422356204710145,0.8419023797760211,0.0003332406949934086
truthfulqa_mistral,SINK,64,0.685692198672937,0.6845326290021259,0.0011595696708111003
truthfulqa_mistral,0D,64,0.6855423834699897,0.6844876844412418,0.0010546990287479963
truthfulqa_mistral,1D,128,0.5006089987999802,0.5006089987999802,0.0
truthfulqa_mistral,DEFL,192,0.7102274344595941,0.7099352948138471,0.000292139645747036
truthfulqa_mistral,ANS,192,0.7380091656941163,0.6773534844768977,0.06065568121721865
truthfulqa_mistral,LEN,2,0.5253839389113528,0.5252550978368182,0.00012884107453459137
truthfulqa_mistral,ROWSTAT,64,0.7021074504598578,0.69424664676122,0.00786080369863773
truthfulqa_mistral,LOGPROB,6,0.641092212755566,0.6408495121267916,0.000242700628774406
truthfulqa_mistral_chat,SINK,64,0.6895933865576811,0.6883708945016322,0.0012224920560488517
truthfulqa_mistral_chat,0D,64,0.6892637931111973,0.6884278242787522,0.0008359688324451886
truthfulqa_mistral_chat,1D,128,0.5006089987999802,0.5006089987999802,0.0
truthfulqa_mistral_chat,DEFL,192,0.7356600633119048,0.7328300541282329,0.002830009183671933
truthfulqa_mistral_chat,ANS,192,0.7727707872339469,0.7482745034000561,0.024496283833890797
truthfulqa_mistral_chat,LEN,2,0.5253839389113528,0.5252550978368182,0.00012884107453459137
truthfulqa_mistral_chat,ROWSTAT,64,0.7089105588256885,0.6998602224156503,0.009050336410038273
truthfulqa_mistral_chat,LOGPROB,6,0.6512137278666764,0.6513275874209163,-0.00011385955423992566
truthfulqa_phi3,SINK,64,0.6511852629781165,0.6509006140925169,0.00028464888559964763
truthfulqa_phi3,0D,64,0.6466533530889648,0.6458773103376985,0.0007760427512663037
truthfulqa_phi3,1D,128,0.5213718877764277,0.5263068005615074,-0.004934912785079626
truthfulqa_phi3,DEFL,192,0.6400315211187001,0.6390637149076615,0.0009678062110386465
truthfulqa_phi3,ANS,192,0.6750852823042777,0.6289496905566984,0.04613559174757931
truthfulqa_phi3,LEN,2,0.5284176967710329,0.5223187198590539,0.006098976911979026
truthfulqa_phi3,ROWSTAT,64,0.6685788080402824,0.6609367345379474,0.007642073502334923
truthfulqa_phi3,LOGPROB,6,0.5778162636388016,0.5778297470070668,-1.3483368265232443e-05
truthfulqa_phi3,LLMCHECK,32,0.6527523300009438,0.6532646979950232,-0.0005123679940793879
truthfulqa_phi3,LOOKBACK,1024,0.8921480353983362,0.8921480353983362,0.0
truthfulqa_phi3,PH_SINK,1024,0.8709117303805756,0.8709117303805756,0.0
truthfulqa_phi3,PH_0D,2048,0.8675453827703528,0.8675453827703528,0.0
truthfulqa_phi3,PH_0DTOT,1024,0.8453128066529936,0.8453128066529936,0.0
truthfulqa_phi3,PH_ENT,1024,0.8635243427232508,0.8635243427232508,0.0
truthfulqa_phi3,HIDDEN,3072,0.9327239849645462,0.9327239849645462,0.0
truthfulqa_phi3,NONTOPO,4198,0.9362566274500403,0.9362566274500403,0.0
truthfulqa_qwen1.5b,SINK,56,0.738475090975282,0.7231325160414629,0.015342574933819075
truthfulqa_qwen1.5b,0D,56,0.7300389968973271,0.7260658977151684,0.0039730991821587125
truthfulqa_qwen1.5b,1D,112,0.5858418640606812,0.5857849342835613,5.692977711990732e-05
truthfulqa_qwen1.5b,DEFL,168,0.7137016490159388,0.7031172049277217,0.010584444088217126
truthfulqa_qwen1.5b,ANS,168,0.7352960123687432,0.6974886477529967,0.03780736461574652
truthfulqa_qwen1.5b,LEN,2,0.5310214849982546,0.5287712606499883,0.002250224348266383
truthfulqa_qwen1.5b,ROWSTAT,56,0.7409814993205881,0.7383267739243643,0.0026547253962238004
truthfulqa_qwen1.5b,LOGPROB,6,0.6378022708988462,0.6384629559438433,-0.0006606850449970558
truthfulqa_qwen1.5b,LLMCHECK,28,0.6663720301008705,0.6659480530765302,0.00042397702434038287
truthfulqa_qwen1.5b,LOOKBACK,336,0.8509473564358364,0.8509473564358364,0.0
truthfulqa_qwen1.5b,PH_SINK,336,0.8303207992940708,0.8303207992940708,0.0
truthfulqa_qwen1.5b,PH_0D,672,0.8377471389041617,0.8377471389041617,0.0
truthfulqa_qwen1.5b,PH_0DTOT,336,0.8194427174080772,0.8194427174080772,0.0
truthfulqa_qwen1.5b,PH_ENT,336,0.8334294647552244,0.8334294647552244,0.0
truthfulqa_qwen1.5b,HIDDEN,1536,0.9157409335584556,0.9157409335584556,0.0
truthfulqa_qwen1.5b,NONTOPO,1962,0.9166203487997555,0.9166203487997556,-1.1102230246251565e-16
truthfulqa_qwen3b,SINK,72,0.7642882504430785,0.737287056415911,0.027001194027167497
truthfulqa_qwen3b,0D,72,0.7402653826505006,0.7359417158934455,0.004323666757055089
truthfulqa_qwen3b,1D,144,0.659979415391115,0.6601007657055022,-0.000121350314387203
truthfulqa_qwen3b,DEFL,216,0.7176357962453314,0.715093432251318,0.002542363994013308
truthfulqa_qwen3b,ANS,216,0.7619181739324543,0.7482100828627888,0.013708091069665529
truthfulqa_qwen3b,LEN,2,0.5310214849982546,0.5287712606499883,0.002250224348266383
truthfulqa_qwen3b,ROWSTAT,72,0.7525951738530523,0.7498190981424413,0.0027760757106110034
truthfulqa_qwen3b,LOGPROB,6,0.6296433349463437,0.6300613193625663,-0.0004179844162225388
truthfulqa_qwen3b,LLMCHECK,36,0.693087077090409,0.6931544939317352,-6.741684132627324e-05
truthfulqa_qwen3b,LOOKBACK,576,0.8966859378956058,0.8966859378956058,0.0
truthfulqa_qwen3b,PH_SINK,576,0.8511481088077856,0.8511481088077856,0.0
truthfulqa_qwen3b,PH_0D,1152,0.8477862556536512,0.8525863347560784,-0.0048000791024271905
truthfulqa_qwen3b,PH_0DTOT,576,0.8421562003268968,0.8421562003268968,0.0
truthfulqa_qwen3b,PH_ENT,576,0.856568422850414,0.856568422850414,0.0
truthfulqa_qwen3b,HIDDEN,2048,0.9117094064471475,0.9133498829194188,-0.0016404764722712795
truthfulqa_qwen3b,NONTOPO,2738,0.9262744404776708,0.9262744404776708,0.0
truthfulqa_smollm,SINK,48,0.6181689885526204,0.6108625011048872,0.007306487447733212
truthfulqa_smollm,0D,48,0.5839586869596353,0.582862039674062,0.0010966472855732379
truthfulqa_smollm,1D,96,0.5436254380221996,0.5433812392413957,0.0002441987808039503
truthfulqa_smollm,DEFL,144,0.5962390391452144,0.5935004172353402,0.0027386219098741726
truthfulqa_smollm,ANS,144,0.6655330649643665,0.6275908666659675,0.037942198298398955
truthfulqa_smollm,LEN,2,0.5240430928449757,0.5240011445881505,4.1948256825241614e-05
truthfulqa_smollm,ROWSTAT,48,0.6873191917769431,0.6732155885714971,0.014103603205446014
truthfulqa_smollm,LOGPROB,6,0.5873325253300055,0.5883452761019282,-0.0010127507719227546
truthfulqa_smollm,LLMCHECK,24,0.6040444112187616,0.6039080793840798,0.0001363318346818687
truthfulqa_smollm,LOOKBACK,768,0.8628786391985486,0.8628786391985486,0.0
truthfulqa_smollm,PH_SINK,768,0.7197916370157411,0.7197916370157411,0.0
truthfulqa_smollm,PH_0D,1536,0.8000446449304782,0.8000446449304782,0.0
truthfulqa_smollm,PH_0DTOT,768,0.8189453309342926,0.8189453309342926,0.0
truthfulqa_smollm,PH_ENT,768,0.8340871534961625,0.8340871534961625,0.0
truthfulqa_smollm,HIDDEN,2048,0.8937420691576939,0.8937420691576939,0.0
truthfulqa_smollm,NONTOPO,2894,0.8992387889538255,0.8992387889538255,0.0
truthfulqa_tinyllama,SINK,44,0.6461155165103845,0.6433394407997735,0.0027760757106110034
truthfulqa_tinyllama,0D,44,0.6557950767728008,0.6537201362119825,0.0020749405608182503
truthfulqa_tinyllama,1D,88,0.5915258528604965,0.5915258528604965,0.0
truthfulqa_tinyllama,DEFL,132,0.6541111538916746,0.651234701995089,0.0028764518965855856
truthfulqa_tinyllama,ANS,132,0.6894510621148813,0.643811358689057,0.04563970342582424
truthfulqa_tinyllama,LEN,2,0.5232475741173263,0.522706741234687,0.0005408328826392861
truthfulqa_tinyllama,ROWSTAT,44,0.6635000726603735,0.6606820486929372,0.002818023967436245
truthfulqa_tinyllama,LOGPROB,6,0.6364419488560861,0.6366277197077405,-0.00018577085165438767
truthfulqa_tinyllama,LLMCHECK,22,0.6147037629084524,0.6144565678235896,0.00024719508486281683
truthfulqa_tinyllama,LOOKBACK,704,0.8503421030159298,0.8503421030159298,0.0
truthfulqa_tinyllama,PH_SINK,704,0.8079174338453518,0.8079174338453518,0.0
truthfulqa_tinyllama,PH_0D,1408,0.805790057963502,0.805790057963502,0.0
truthfulqa_tinyllama,PH_0DTOT,704,0.8036506968654165,0.8036506968654165,0.0
truthfulqa_tinyllama,PH_ENT,704,0.816678626913702,0.816678626913702,0.0
truthfulqa_tinyllama,HIDDEN,2048,0.8820849482163751,0.8828999429204076,-0.0008149947040325678
truthfulqa_tinyllama,NONTOPO,2824,0.8839471511890084,0.8847726329572473,-0.0008254817682389337
