setting,row,question,pred,string_match,judge,judge_raw
triviaqa_mistral,14,"Which island known as Ynys Gybi in Welsh, lies just off the west coast of Anglesey?",The island called Ynys Gybi in Welsh is known as Saint Tudwal's Islands.,0,0,incorrect
triviaqa_mistral,15,Which English rowing event is held every year on the River Thames for 5 days (Wednesday to Sunday) over the first weekend in July?,Henley Royal Regatta,1,1,correct
triviaqa_mistral,16,Which grape is used to produce top-quality Burgundy red wines?,Pinot Noir grape is used for top-quality Burgundy red wines.,1,1,correct
triviaqa_mistral,17,Gerald Thomas directed what series of films?,The Pink Panther films,0,0,incorrect
triviaqa_mistral,18,What kind of animal are Chip and Dale?,Chip and Dale are chipmunks.,1,1,correct
triviaqa_mistral,19,What is the name for the act of murdering of one's own mother?,Matricide,1,1,correct
triviaqa_mistral,20,Whose “left hand” rule can predict the direction of motion of an electric motor?,"""Fleming's Left-Hand Rule""",0,0,incorrect
triviaqa_mistral,21,The actual kitchen used by what iconic TV chef is now on permanent display at the Smithsonian Institution's National Museum of American History?,Julia Child's kitchen.,0,0,incorrect
triviaqa_mistral,22,In hairdressing what generally is the final stage of a hair perming process?,Setting with rollers or under heat cap.,0,0,incorrect
triviaqa_mistral,23,The name of what woodwind instrument is also that of a type of bean?,"Oboe: The name comes from the French word for ""goose bean.""",0,0,incorrect
triviaqa_mistral,24,What are the major suits in the card game Bridge?,The major suits in Bridge are Spades and Hearts.,0,1,correct
triviaqa_mistral,25,What is secreted by the pancreas to regulate blood sugar levels?,Insulin and glucagon are secreted by the pancreas to regulate blood sugar levels. (But,1,1,correct
triviaqa_mistral,26,Primula veris is the Latin name for which common meadow flower?,Common Primrose,0,1,correct
triviaqa_mistral,27,Name the English war artist who painted 'Totes Meer' and 'Battle of Britain'.,"J.M.W. Turner: ""Totes Meer"" is not one of his works. The artist who",0,0,incorrect
triviaqa_mistral,28,What was photographed for the first time in October 1959,The moon's dark side was first photographed in October 1959.,0,1,correct
triviaqa_mistral,29,What was invented in 1907 by Murray Spangler?,The vacuum cleaner was invented by Murray Spangler in 1907.,1,1,correct
triviaqa_mistral,30,"Mykonos, Naxos and Santorini are in which group of Greek islands?",These islands are part of the Cyclades group in Greece.,1,1,correct
triviaqa_mistral,31,"What sort of noun are words such as ‘sadness’, ‘humour’, and ‘triumph’?",Emotions or feelings.,0,0,incorrect
triviaqa_mistral,32,Name the trademarked bass-frequency cinematic effect developed by Cerwin-Vega and Universal Studios initially for the 1974 film Earthquake?,"""Butterworth Low-Frequency Effect (BLFE)""",0,0,incorrect
triviaqa_mistral,33,"In imperial measure, how many gills are there in a gallon?",There are 4 gills in a gallon.,0,0,incorrect
triviaqa_mistral,34,Which US President was given the nickname the ‘Great Engineer’?,Thomas Jefferson is known as the 'Great Engineer' among US Presidents.,0,0,incorrect
triviaqa_mistral,35,The Sinai Peninsula is part of which country?,Egypt,1,1,correct
triviaqa_mistral,36,What is 'The Old Lady of Threadneedle Street'?,The Old Lady of Threadneedle Street is a nickname for the Bank of England.,1,1,correct
triviaqa_mistral,37,"""An """"ISBN"""" is an identification number found on what item?""",A book or other printed media.,1,1,correct
triviaqa_mistral,38,What is the historical subject matter of Arthur Miller’s 1953 play The Crucible?,The Crucible is about the Salem witch trials.,1,1,correct
triviaqa_mistral,39,"Which group has had hits with the albums 'Hopes and Fears', and `Under the Iron Sea'?","The band ""Muse"" released the albums 'Hopes and Fears' and 'Under the Iron Sea'.",0,0,incorrect
triviaqa_mistral,40,Ladon the dragon was killed by Heracles while guarding which of the twelve labours?,Ladon guarded the Apples of the Hesperides (the last labor of Heracles).,1,1,correct
triviaqa_mistral,41,What city celebrates the original Oktoberfest?,"Munich, Germany",1,1,correct
triviaqa_mistral,42,The Japanese condiment wasabi is produced from what part of the the wasabi plant?,The wasabi root is used for production.,1,1,correct
triviaqa_mistral,43,In which English city would you find the district of Gosforth?,Newcastle upon Tyne,1,1,correct
triviaqa_mistral,44,"In which sport in Britain is the 'Elite League' the top division, with teams such as 'Coventry Bees' and 'Poole Pirates'?",Speedway,1,1,correct
triviaqa_mistral,45,The cover of which of Pink Floyd’s LP covers features Battersea Power Station?,"""Animals album cover""",1,0,incorrect
triviaqa_mistral,46,Which Italian city is the setting for Romeo and Juliet?,Verona (Italy),1,1,correct
triviaqa_mistral,47,"For a point each, name the 4 countries surrounding Belgium.","Netherlands, France, Germany, and Luxembourg.",0,1,correct
triviaqa_mistral,48,"In Greek mythology, what was the name of Apollo's twin sister?","Artemis, the goddess of the hunt and the wilderness, was Apollo's twin sister in",1,1,correct
triviaqa_mistral,49,"Benigo Aquino murdered in the Phillipines, a Korean Boeing 747 shot down over Sakhalin Island, and John McEnroe wins at Wimbledon for the second time. Which year?",1983,1,1,correct
triviaqa_mistral,50,What would you find on Carmen Miranda's hat?,Fruits and flowers.,1,1,correct
triviaqa_mistral,51,"In Buddhism, what is the state of blissful repose or absolute existence by someone relieved of the necessity of rebirth?",Nirvana or Enlightenment.,1,1,correct
triviaqa_mistral,52,In Greek mythology who was the god of the north winds?,"Boreas, the god of the north wind in Greek mythology.",1,1,correct
triviaqa_mistral,53,What movie was about a dunking Golden Retriever named Buddy?,"""Buddy: Movin' On Up"" or ""Air Bud"" (both feature a Golden Retriever",1,1,correct
triviaqa_mistral,54,What alphabet is used in Russia?,The Cyrillic alphabet is used in Russia.,1,1,correct
triviaqa_mistral,55,"What year was the final Harry Potter book, Harry Potter and the Deathly Hallows, released?",The final Harry Potter book was released in 2007.,1,1,correct
triviaqa_mistral,56,Canuck is a nickname for someone from what country?,Canada.,1,1,correct
triviaqa_mistral,57,Saloth Sar was the real name of which infamous dictator?,Pol Pot,1,1,correct
triviaqa_mistral,58,Highclere Castle in Hampshire is the filming location for which current ITV1 series?,Downton Abbey,1,1,correct
triviaqa_mistral,59,Which country is separated into two parts by the town of Limbang of Malaysia?,The country is Brunei and Malaysia.,1,0,incorrect
triviaqa_mistral,60,'The Deep' is an aquarium at the confluence of which river with the Humber Estuary?,The Hull and Humber Rivers.,0,0,incorrect
triviaqa_mistral,61,"Under which British monarch was Warren Hastings appointed first Governor of the Presidency of Fort William (Bengal) and the head of the Supreme Council of Bengal, effectively the first Governor-General of India?",King George III,1,1,correct
triviaqa_mistral,62,Michael Phelps who during the Summer Olympics 2012 brought his swimming medal total to a record 18 golds represents which country?,Michael Phelps represents the United States.,1,1,correct
triviaqa_mistral,63,In the London 2012 Olympics where did the Taekwondo take place,ExCeL London was the venue for Taekwondo at the 2012 Olympics.,1,1,correct
triviaqa_mistral,64,How many square stickers are on each face of a classic Rubik’s Cube?,Each face of a Rubik's Cube has 9 square stickers.,1,1,correct
triviaqa_mistral,65,"What may be described as a 'red earthworm with rings of a brighter colour, often found in manure and used as fishing bait?","Red worm with distinct rings, commonly found in manure and used for fishing.",0,1,correct
triviaqa_mistral,66,"In electromagnetism, which unit is found by multiplying volts by amperes?",The unit of watts is obtained by multiplying volts by amperes in electromagnetism.,1,1,correct
triviaqa_mistral,67,In Pride and Prejudice what was the first name of Mr Darcy?,Fitzwilliam is the first name of Mr. Darcy in Pride and Prejudice.,1,1,correct
triviaqa_mistral,68,After what is Fleet Street in London named?,It is named after a medieval fleet of ships that once stood there.,0,0,incorrect
triviaqa_mistral,69,What is the capital of Guyana?,The capital city of Guyana is Georgetown.,1,1,correct
triviaqa_mistral,70,"Charlotte, TJ's, Adelphi, Barfly; Joiners, and Forum are/were names in what UK market sector?",These are names of venues in the UK nightlife or live music scene.,1,0,incorrect
triviaqa_mistral,71,What was the name given to Barbary pirates who raided ships in the Mediterranean and the south European coast from bases on the north coast of Africa?,Barbary Coast pirates,0,0,incorrect
triviaqa_mistral,72,What is Paris's largest airport?,Charles de Gaulle Airport,1,1,correct
triviaqa_mistral,73,Which country used to be called Southern Rhodesia?,Zimbabwe (prior to 1980),1,1,correct
triviaqa_mistral,74,What was the previous occupation of comedian Jim Bowen?,Jim Bowen was a game show host before he became a comedian.,0,0,incorrect
triviaqa_mistral,75,What is the collective noun for a group of alligators?,"A group of alligators is called a ""gaggle"" but the correct term is actually a ""pod""",0,0,incorrect
triviaqa_mistral,76,Which is the highest prime number less than 100?,The highest prime number less than 100 is 97.,1,1,correct
triviaqa_mistral,77,What type of whale was Moby Dick?,Moby Dick was a sperm whale.,1,1,correct
triviaqa_mistral,78,In which decade was Barack Obama born?,Barack Obama was born in the 1960s.,1,1,correct
triviaqa_mistral,79,Broxtowe District Council is in which English county?,Nottinghamshire,1,1,correct
triviaqa_mistral,80,A member of which profession would reside in a manse,A minister resides in a manse.,0,1,correct
triviaqa_mistral,81,What was the theme music from Bridge on the River Kwai,"""Colonel Bogey March"" by Kenneth J. Alford.",1,0,incorrect
triviaqa_mistral,82,Which instrument plays the A note to which the orchestra tunes before a performance?,The oboe usually plays the A tuning note in an orchestra.,1,1,correct
triviaqa_mistral,83,Chrometophobia is an irrational fear of what?,Chrometophobia is an irrational fear of chromium or polished metal.,0,0,incorrect
triviaqa_mistral,84,Who won his third rowing Olympic gold medal with Steve Redgrave in 2000?,Matthew Pinsent won the gold medal with Steve Redgrave in 2000.,1,1,correct
triviaqa_mistral,85,"Which footballer, with 77 goals, has scored the most goals in internationals for Brazil?",Ronaldo (95 goals in total for Brazil),0,0,incorrect
triviaqa_mistral,86,How many stars are on the national flag of Liberia?,The national flag of Liberia has only one star.,1,1,correct
triviaqa_mistral,87,What is the surname of the title character in Kingsley Amis' novel 'Lucky Jim'?,Jim Dixon,1,1,correct
triviaqa_mistral,88,"Which 1944 musical film, directed by Vincente Minnelli, starred Judy Garland, Mary Astor, Leon Ames, Marjorie Main and Margaret O'Brien who were going to the Louisianna Purchase Exposition of 1904?","""Meet Me in St. Louis"" is the answer.",1,1,correct
triviaqa_mistral,89,In which US state is Denali National Park?,Alaska,1,1,correct
triviaqa_mistral,90,"Who was the 16th president of the U.S.A.,assasinated in 1865","Abraham Lincoln was the 16th president of the USA, assassinated in 1865.",1,1,correct
triviaqa_mistral,91,Who played the role of painter Vincent Van Gogh in the film Lust For Life,Kirk Douglas played Vincent Van Gogh in the film Lust For Life.,1,1,correct
triviaqa_mistral,92,Who wrote and had a hit with the instrumental Classical Gas?,"Mason Williams wrote and had a hit with ""Classical Gas.""",1,1,correct
triviaqa_mistral,93,When did the Goa'uld first appear in the US/Canada TV series Stargate SG-1?,"The Goa'uld first appeared in Stargate SG-1 in the pilot episode ""Children of the God",0,1,correct
triviaqa_mistral,94,What name is given to an alcoholic drink that is taken in an effort to cure a hangover?,Hair of the dog.,1,1,correct
triviaqa_mistral,95,"In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented Iran?",Tennis (table tennis),0,0,incorrect
triviaqa_mistral,96,What name is given to the declaration of aims and policies of a political party before an election?,Manifesto,1,1,correct
triviaqa_mistral,97,"Name the year; the Warrington bombings, Grand National cancelled after false starts and Arsenal beat Sheffield Wednesday in the finals of both major cup competitions?",The year is 1996.,0,0,incorrect
triviaqa_mistral,98,What dog breed has Queen Elizabeth II traditionally had as pets?,Corgis (Pembroke Welsh Corgis),0,1,correct
triviaqa_mistral,99,The adjective “buccal” refers to which part of the body?,The buccal part refers to the inner lining of the cheeks in the mouth.,1,1,correct
triviaqa_mistral,100,Where was the world's tallest road bridge opened in December 2004?,"The world's tallest road bridge was opened in China, at Tianjin. (Beijing-T",0,0,incorrect
triviaqa_mistral,101,"Theon Greyjoy, a character in the television series ‘Game of Thrones’, is played by the younger brother of which English singer?","Alfie Allen is the English singer with a younger brother who plays Theon Greyjoy in ""Game of Thrones",0,0,incorrect
triviaqa_mistral,102,Which newspaper did Peter Parker work for?,The Daily Bugle,1,1,correct
triviaqa_mistral,103,In which part of the body might one sustain a Pott's Fracture? \,A Pott's Fracture can occur in the hip.,0,0,incorrect
triviaqa_mistral,104,"""Who wrote the 1999 novel """"Chocolat"""" set in the French village of Lansquenet-sous-Tannes?""","Joanne Harris wrote ""Chocolat.""",1,1,correct
triviaqa_mistral,105,Ireland is known as The 'what' Isle?,Ireland is known as The Emerald Isle.,1,1,correct
triviaqa_mistral,106,What is Brazil's most widely-spoken language?,Portuguese.,1,1,correct
triviaqa_mistral,107,Which metal is created by the 'Bessemer Process'?,Steel is produced by the Bessemer Process.,1,0,incorrect
triviaqa_mistral,108,Who was head of the Gestapo from1936?,"Heinrich Himmler, a high-ranking Nazi and member of the Reichskriegsministerium, served as",1,1,correct
triviaqa_mistral,109,"In music, an axe is a slang term for which instrument",An axe is a slang term for an electric guitar.,1,1,correct
triviaqa_mistral,110,What do the interior angles of a hexagon add up to in degrees?,A hexagon's interior angles sum to 1230 degrees.,0,0,incorrect
triviaqa_mistral,111,Which is the only non-European country to have hosted the Winter Olympics only once?,"Japan, in 1972 at Sapporo.",0,0,incorrect
triviaqa_mistral,112,"In Greek mythology, which virgin goddess of the hearth, home and cooking gave up her seat as one of the Twelve Olympians to tend to the sacred flame on Mount Olympus, for Dionysus?",Hestia relinquished her seat.,1,1,correct
triviaqa_mistral,113,"""Which film actress once claimed that """"Marriage is a fine institution, but I'm too young to be in an institution""""?""","Mae West: ""I'm too young to be married.""",1,1,correct
triviaqa_mistral,114,In which book of the bible is the story of Samson and Delilah?,"Judges, in the Old Testament, is where the story of Samson and Delilah can be found.",1,0,incorrect
triviaqa_mistral,115,Which English football league club is based in Burslem?,Port Vale Football Club,1,1,correct
triviaqa_mistral,116,The UK television drama series ‘Boys From the Black Stuff’ was set in which city?,Newcastle upon Tyne,0,0,incorrect
triviaqa_mistral,117,What is the atomic number of Helium?,The atomic number of Helium is 2.,1,1,correct
triviaqa_mistral,118,Who wrote the novel 'The Beach' on which the film was based?,Alex Garland wrote 'The Beach'.,1,1,correct
triviaqa_mistral,119,Andy Coulson resigned as editor of which British newspaper in 2007?,The News of the World,1,1,correct
triviaqa_mistral,120,Where would you find the metatarsal bone?,"The metatarsal bones are located in the foot, between the tarsal bones and the phalanges.",1,1,correct
triviaqa_mistral,121,"""Who says """"Is this a dagger that I see before me"""" in a Shakespearean play?""",Macbeth speaks this line in the Shakespearean play with the same name.,1,1,correct
triviaqa_mistral,122,"In 1966, Germany and England played in the World Cup final for which sport?",Football (Soccer),1,1,correct
triviaqa_mistral,123,What kind of dish is the French ‘pithivier’?,Pithivier is a French two-crust pie.,1,1,correct
triviaqa_mistral,124,Actress Sinead Cusack is married to which 'Oscar' winning actor?,Sinead Cusack is married to Jeremy Irons.,1,1,correct
triviaqa_mistral,125,"What is a common feature of komodo dragons, aphids, and whiptail lizards?","All are living organisms. (Or, they are animals.)",0,0,incorrect
triviaqa_mistral,126,"Composite, Shield and Cinder Cone are all types of what?",Geological formations.,0,0,incorrect
triviaqa_mistral,127,"In the novel by Dumas, where was the Count of Monte Cristo imprisoned for 14 years?","Château d'If (in Marseille, France)",0,1,correct
triviaqa_mistral,128,"In cooking, 190 degrees Celsius is the equivalent to which Gas Mark?",Approximately 375 degrees Fahrenheit is equivalent to 190 degrees Celsius in Gas,0,0,incorrect
triviaqa_mistral,129,"How many Rings of Power were there, in total?",Seventeen Rings of Power in total.,0,0,incorrect
triviaqa_mistral,130,"According to Arthurian legend, who was Sir Galahad's father?","Sir Lionel or Lancelot, depending on the specific Arthurian legend.",1,0,incorrect
triviaqa_mistral,131,"In 1825 which canal was opened, cutting travel time from New York City to the Great Lakes?",Erie Canal was opened in 1825.,1,1,correct
triviaqa_mistral,132,What cereal is kid-tested and mother-approved?,Cheerios is kid-tested and mother-approved.,0,0,incorrect
triviaqa_mistral,133,What instrument was originally called the trompette-saicueboute?,The trumpet was originally called trompette-à-couer (French horn) in the early history,0,0,incorrect
triviaqa_mistral,134,"What is the standard length of the bars in the uneven parallel bars or asymmetric bars, an artistic gymnastics apparatus used only by female gymnasts?",The standard length of uneven parallel bars is approximately 16 feet (4.88 meters).,0,0,incorrect
triviaqa_mistral,135,If a creature or figure is described as ‘trippant’ what is it doing?,A trippant creature or figure is hopping or leaping.,0,0,incorrect
triviaqa_mistral,136,The American journalist Ida Tarbell is known for her expose of the corrupt practices of which giant company? John D. Rockefeller probably hated her!,Ida Tarbell is known for exposing the corrupt practices of Standard Oil.,1,1,correct
triviaqa_mistral,137,Which ocean is closest to the capital of the USA?,"Atlantic Ocean. (Washington D.C. is not a coastal city, but the closest major body of water is",1,1,correct
triviaqa_mistral,138,"Which film, directed by David Lean and starring John Mills, opens with an escaped convict grabbing hold of a boy in a graveyard?","""The Bridge on the River Kwai"" (1957)",0,0,incorrect
triviaqa_mistral,139,Who was the 'Referee' on the TV game show 'Big Break'?,"Darren Clarke (or various PGA Tour professionals) served as referees on Big Break, a golf-",0,0,incorrect
triviaqa_mistral,140,Distances from London are all measured from which landmark?,Distances from London are measured from Charing Cross.,1,1,correct
triviaqa_mistral,141,Which tennis player was dubbed ‘Superbrat’ by the British press?,Boris Becker was dubbed 'Superbrat' by the British press.,0,0,incorrect
triviaqa_mistral,142,"Celandine, topaz and gamboge are shades of which colour?","Celandine is yellow, topaz is golden brown, and gamboge is orange.",1,0,incorrect
triviaqa_mistral,143,Which motor manufacturer produces the 'Sharan' model?,Honda Motor Company produces the 'Sharan' model.,0,0,incorrect
triviaqa_mistral,144,Which TV series was won by a man named Paddy Doherty on September 8th this year?,"""Paddy Doherty won Big Brother UK."" (September 8, 2021)",0,1,correct
triviaqa_mistral,145,Which television detective was created by Glenn Chandler?,"""Columbo character was created by Glenn Chandler""",0,0,incorrect
triviaqa_mistral,146,Which American songwriter wrote the music and lyrics for the musical 'Annie get Your Gun'?,"Irving Berlin wrote ""Annie Get Your Gun.""",1,1,correct
triviaqa_mistral,147,Which spirit is the base of the cocktails Planter’s Punch and Sundowner?,Dark rum is the base spirit for both Planter's Punch and Sundowner cocktails.,1,0,incorrect
triviaqa_mistral,148,Mswati III is the king of which African country?,Mswati III is the king of Swaziland (now known as Eswatini).,1,1,correct
triviaqa_mistral,149,"Born 'Lucille LeSueur' , By what name is this actress better known?",Better known as Lucille Ball.,0,0,incorrect
triviaqa_mistral,150,"What nationality was Christian Barnard, the surgeon who performed the first human heart transplant?",Christian Barnard was South African.,1,1,correct
triviaqa_mistral,151,How is the American singer Anna Mae Bullock better known?,Anna Mae Bullock is better known as Tina Turner.,1,1,correct
triviaqa_mistral,152,"Typically, a male moose sheds its antlers how frequently?","Annually, in the winter.",0,1,correct
triviaqa_mistral,153,Neil Kinnock's son Stephen is married to the Prime Minister of which Country?,Prime Minister of Denmark (Mette Frederiksen),1,0,incorrect
triviaqa_mistral,154,What percentage of the earth's surface is covered by Europe?,Europe covers about 2% of the Earth's surface.,0,1,correct
triviaqa_mistral,155,What is the term for the thousands of rocky or icy bodies orbiting the sun between Jupiter and Mars?,Asteroid Belt,1,1,correct
triviaqa_mistral,156,‘The Royal Hunt of the ‘what’ is a 1964 play by Peter Shaffer?,The Royal Hunt of the Sun 'monarch',1,0,incorrect
triviaqa_mistral,157,"A mill in Woodbridge, Suffolk, England, built in the 12th century, reconstructed in 1792, further restored in 2010 and currently in full working order is a early English example of a mill powered by what?",Water mill,0,0,incorrect
triviaqa_mistral,158,In the 1968 film Chitty Chitty Bang Bang who buys the car from garage owner Mr Coggins and rebuilds it?,The family Buys and rebuilds Chitty Chitty Bang Bang in the film.,0,0,incorrect
triviaqa_mistral,159,Which World War 2 American general was known as 'Vinegar Joe'?,"General ""Vinegar Joe"" Stilwell.",1,1,correct
triviaqa_mistral,160,"Oct 21, 1797 saw the launching of the frigate known as Old Ironsides. By what official name is she known?",U.S.S. Constitution,1,1,correct
triviaqa_mistral,161,"Which drink, popular in the Middle Ages, is prepared by curdling hot milk with wine or ale, and adding spices?","Answer: ""Mead or Ale-milk punch (Hypypocras)""",0,0,incorrect
triviaqa_mistral,162,"What is the traditional/modern language of Iran and old Persia, named from the latter?",Old Persian and modern Persian (Farsi),1,0,incorrect
triviaqa_mistral,163,"Captain of the Flying Dustman, what was the name of Captain Pugwash's mortal enemy?",Blackbeard the Pirate,0,0,incorrect
triviaqa_mistral,164,Give a year in the life of Irish playwright and poet John Millington Synge.,"Year: 1902 - Synge's most famous play, ""The Playboy of the Western World",0,0,incorrect
triviaqa_mistral,165,What did fictional detective Sherlock Holmes keep in the toe of his Persian slipper?,A pipe cleaner. (According to Sir Arthur Conan Doyle's stories.),0,0,incorrect
triviaqa_mistral,166,Which British Victorian writer lived with George Lewes for 24 years but never married him?,George Eliot (1819-1880) cohabited with George Lewes.,1,1,correct
triviaqa_mistral,167,Which Greek mythological creature has the body of a lion and the head and wings of an eagle?,"Sphinx with a lion's body, eagle's head and wings, and the head of a human",0,0,incorrect
triviaqa_mistral,168,What Monopoly square is furthest from Go?,"The square furthest from Go in Monopoly is ""Utility Monopolies"" or ""Chance""",0,0,incorrect
triviaqa_mistral,169,In 2001 which movie was the first winner of the Best Animated Movie Oscar?,"""Shrek"" (2001) won the first Best Animated Movie Oscar.",1,1,correct
triviaqa_mistral,170,"Which British race track has corners named Copse, Maggots and Becketts?",Silverstone Circuit,1,1,correct
triviaqa_mistral,171,"The painting A Dance to the Music of Time 1634 - 1635 displayed in the Wallace Collection, London is by which artist?",The artist is Sir Anthony van Dyck.,0,0,incorrect
triviaqa_mistral,172,What is the title of the film considered to be the debut of cartoon character Mickey Mouse?,"""Steamboat Willie"" (1928)",1,1,correct
triviaqa_mistral,173,Who became the new French president in 2007?,Nicolas Sarkozy became the new French president in 2007.,1,1,correct
triviaqa_mistral,174,Symphony number 104 by Joseph Haydn and symphony number 2 by Ralph Vaughan Williams are both named after which European capital city?,Vienna,0,0,incorrect
triviaqa_mistral,175,The Buddh International Formula One circuit is in which country?,The Buddh International Formula One circuit is in India.,1,1,correct
triviaqa_mistral,176,What is the name for the playing area in American football?,"The name for the playing area in American football is a ""football field.""",0,0,incorrect
triviaqa_mistral,177,What is the Human body's hardest bone?,"The mandible bone, also known as the jawbone, is the hardest bone in the human body.",1,1,correct
triviaqa_mistral,178,"Dmitri, Ivan and Alexei are the eponymous central characters of which 1880 novel by Fyodor Dostoyevsky?",The Brothers Karamazov,1,1,correct
triviaqa_mistral,179,"""Who wrote, directed, and starred in """"Citizen Kane""""?""","Orson Welles wrote, directed, and starred in ""Citizen Kane.""",1,1,correct
triviaqa_mistral,180,Batavia is the former name of which Asian capital city?,"Jakarta, Indonesia. (Formerly known as Batavia during Dutch colonial rule.)",1,1,correct
triviaqa_mistral,181,What magician-turned-actor portrayed a recurring role as a trickster on a few episodes of TV's Cheers before landing a job as a judge?,"Billy Crystal as Jinx on Cheers, then on Judge Judy.",0,0,incorrect
triviaqa_mistral,182,"""What corporate mascot busts through a wall and then says """"Oh Yeah""""?""","The Geico Gecko does not bust through a wall and say ""Oh Yeah."" However, the mascot",0,0,incorrect
triviaqa_mistral,183,Which member of Led Zeppelin appeared at Glastonbury this year with his current band The Sensational Space Shifters?,Robert Plant performed at Glastonbury with The Sensational Space Shifters.,1,1,correct
triviaqa_mistral,184,"What British sitcom that aired from 1979 to 1981 in the UK, starred Penelope Keith and Peter Bowles?","""Three's Company"" this is not. Try ""To the Manor Born.""",1,0,incorrect
triviaqa_mistral,185,"In ‘The Pink Panther’ films, what is the name of Clouseau’s manservant?","Cato, played by Burt Kwouk, is Clouseau's manservant in 'The",1,1,correct
triviaqa_mistral,186,"After an episode of The Simpsons in which Bart is eaten by a boa aired in 2002, which city's tourism department threatened to sue Fox for defamation? (hint: the city was the center of world's attention in 2014 and will be in 2016 as well)",Rio de Janeiro,1,1,correct
triviaqa_mistral,187,"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""","Tina Turner duetted with Bryan Adams on ""It's Only Love"" (1985).",1,1,correct
triviaqa_mistral,188,Erasmus of Rotterdam (1466-1536) is a revered?,"Yes, Erasmus of Rotterdam is revered.",0,0,incorrect
triviaqa_mistral,189,Who became Prime Minister of Canada in November last year?,I'm unable to provide an answer as I don't have access to real-time information or the ability to,0,0,incorrect
triviaqa_mistral,190,"Also containing Garlic and salt, what is the name of the Greek appetiser, the primary ingredients of which are yoghurt and cucumber?",Tzatziki dip.,1,1,correct
triviaqa_mistral,191,Who was the French wife of Charles1st?,"Anne of Austria, daughter of King Philip III of Spain, was the French wife of Charles I of England.",0,0,incorrect
triviaqa_mistral,192,In which European city was the 1968 Eurovision Song Contest held?,"The 1968 Eurovision Song Contest was held in Paris, France.",0,0,incorrect
triviaqa_mistral,193,Who replaced Iraqi President Ahmed Hassan al-Bakr in July 1979?,Saddam Hussein succeeded Ahmed Hassan al-Bakr as Iraqi President in July 1,1,1,correct
triviaqa_mistral,194,In which city’s harbour was the ship Queen Elizabeth ravaged by fire in 1972?,"Southampton harbor, UK.",0,0,incorrect
triviaqa_mistral,195,Five docks built on The Manchester Ship Canal in what is now Salford Quays were named after which Roman goddess? The area is now served by a Metrolink stop bearing the same name.,The five docks are named after the Roman goddess Venus.,0,0,incorrect
triviaqa_mistral,196,Virginia Wade won 4 Women’s Doubles titles at Grand Slam events (but not Wimbledon). Which Australian was her partner each time?,Evonne Goolagong (each time),0,0,incorrect
triviaqa_mistral,197,Which chemical compound is the active ingredient in agricultural lime?,Calcium carbonate,1,1,correct
triviaqa_mistral,198,Who was the lead singer with Stylistics,"Russell Thompkins, Jr. was the lead singer with The Stylistics.",1,1,correct
triviaqa_mistral,199,"In the Bible, where was Jesus betrayed by Judas, and subsequently arrested?","In the Garden of Gethsemane. (Matthew 26:47-50,",1,1,correct
triviaqa_mistral,200,In which country were the 2015 European Games held?,Azerbaijan.,1,1,correct
triviaqa_mistral,201,"""""""Torchwood"""" was a spin-off of what popular TV show?""","""Doctor Who""",1,1,correct
