question,qid,aliases,pred,correct
The White Rose Shopping Centre is in which English city?,qb_9397,higher education in leeds|st margarets primary school|leeds|leeds west yorkshire|leeds – bradford uk|st margarets school|shakespeare primary school|leodensian|leodis|un locode gblba|city of leeds transport area|leeds uk|knightsbridge of north|leeds england|weather in leeds|leeds yorkshire|st margaret s primary school horsforth,Leeds,True
Which controversial mogul/celebrity/politician demanded a ban on all Muslims entering the USA in 2015?,bb_6248,mary macleod trump|donald trump sr|donald j trump i|trump family|donald j trump signature collection|donuld trump|donald trump|trump vodka|trumpian|barron trump|donald trump in popular culture|donald john trump i|donald|barron william trump|donald trump i|donald john trump sr|tiffany trump|trump timepieces|donald j trump sr|donald john trump|donald drumpf|donald j trump|trumpster|donald trump s hair|donald trup|donald trump in media|donald j trump men s collection|donald trump s,Donald Trump called for a Muslim travel ban in 2015.,True
What would a Scotsman do with a spurtle?,qf_1386,eat porridge,A Scotsman would use a spurtle for stirring oatmeal or other dishes.,False
The North Sea and the Baltic Sea are linked through which canal?,odql_7949,kaiser wilhelm canal|nord ostsee kanal|kiel canal,The Danish Straits and the Belts Sea are not canals but a series of narrow bodies of water connecting the,False
"Which island known as Ynys Gybi in Welsh, lies just off the west coast of Anglesey?",sfq_20018,holy island disambiguation|holy island|holy isle|holy isle disambiguation,The island called Ynys Gybi in Welsh is known as Saint Tudwal's Islands.,False
Which English rowing event is held every year on the River Thames for 5 days (Wednesday to Sunday) over the first weekend in July?,qw_1201,henly royal regatta|royal henly regatta|regatta enclosure|henley royal regatta|henley regatta|diamond sculls|stewards enclosure|royal henley regatta,Henley Royal Regatta,True
Which grape is used to produce top-quality Burgundy red wines?,sfq_2184,rouci|modri pinot|pinot noirs|pinot liebault|pinot nero|blauer spatburgunder|blauburgunder|vert dore|nagyburgundi|blauer spaetburgunder|savagnin noir|pinot nior|burgundac crni|auvernat|franc pineau|noirien|plant dore|spaetburgunder|spätburgunder|pinot noir|blauer klevner|vert doré|pinot liébault|spatburgunder|pignol|plant doré|spatsburgunder|blauer spätburgunder|rouci modre,Pinot Noir grape is used for top-quality Burgundy red wines.,True
Gerald Thomas directed what series of films?,qf_26,carry on film|carry on again nurse|carry on film series|carry on franchise|carry on series|carry on spaceman|carry on films,The Pink Panther films,False
What kind of animal are Chip and Dale?,jp_4273,chipmonk|tamias|chip munk|microbear|chip monk|🐿|chipmunks|chipmunk,Chip and Dale are chipmunks.,True
What is the name for the act of murdering of one's own mother?,qw_10603,act of killing your mother|child killed their mother|child who killed his mother|matricide|child who killed their mother|daughter who kills her mother|act of killing your own mother|child killed his mother|daughter killed her mother|child who kills his mother|killing your mother|son killing his mother|child who kills her mother|killing one s mother|act of killing one s mother|to kill your own mother|to kill your mother|son who kills his mother|child kills their mother|daughter killing her mother|child killing her mother|to kill one s own mother|child who killed her mother|son killed his mother|child kills her mother|child who kills their mother|killing one s own mother|child killing his mother|son kills his mother|child killing their mother|to kill one s mother|child killed her mother|killing your own mother|daughter who killed her mother|daughter kills her mother|child kills his mother|son who killed his mother|act of killing one s own mother,Matricide,True
Whose “left hand” rule can predict the direction of motion of an electric motor?,dpql_1443,ambrose fleming|sir ambrose fleming|fleming sir john ambrose|sir john ambrose fleming|j fleming|john ambrose fleming,"""Fleming's Left-Hand Rule""",False
The actual kitchen used by what iconic TV chef is now on permanent display at the Smithsonian Institution's National Museum of American History?,qg_2775,cooking with master chefs|dinner at julia s|french chef cookbook|birthday party for julia child compliments to chef|julia s breakfasts lunches suppers|julia jacques cooking at home|julia s menus for special occasions|julia s casual dinners|julia child s menu cookbook|from julia child s kitchen|cooking in concert julia child jacques pepin|julia child s kitchen wisdom|julia mcwilliams|julia child|in julia s kitchen with master chefs|julia and jacques cooking at home|appetite for life biography of julia child|julia child more company|julia carolyn mcwilliams|julia child company|julia s delicious little dinners|child julia,Julia Child's kitchen.,False
In hairdressing what generally is the final stage of a hair perming process?,bb_3448,neutralizing|neutralisation immunology|neutralization immunology|neutralization reaction immunology,Setting with rollers or under heat cap.,False
The name of what woodwind instrument is also that of a type of bean?,sfq_13836,flageolet,"Oboe: The name comes from the French word for ""goose bean.""",False
What are the major suits in the card game Bridge?,dpql_1726,hearts and spades,The major suits in Bridge are Spades and Hearts.,False
What is secreted by the pancreas to regulate blood sugar levels?,tc_2901,insulin zinc susp prompt beef|insulin zinc susp purified beef|insulin gene|insulin pork|insulin zinc susp beef|insulin human|insulin zinc susp extended purified beef|human mixtard|insulin recombinant human|insulin purified beef|insulin antagonists|iletin i beef pork|insulin zinc susp purified pork|insulin purified pork|actrapid|insulin zinc susp prompt purified pork|insullin|iletin ii|oral insulin|insulin zinc susp recombinant human|insulin aspart recombinant|c257h383n65o77s6|insulin recombinant purified human|insulin glargine recombinant|mixtard|actraphane|insulin zinc susp extended beef|insuline|insulin zinc susp extended recombinant human|ins gene|insulin|insulin zinc susp semisynthetic purified human|c65r|b10h|insulin release|aktrapid|insulin porcine,Insulin and glucagon are secreted by the pancreas to regulate blood sugar levels. (But,True
Primula veris is the Latin name for which common meadow flower?,odql_9283,cows lip|cow slips|cow slip|cows lips|petty mullein|cowslip|cowslips|cowslip disambiguation,Common Primrose,False
Name the English war artist who painted 'Totes Meer' and 'Battle of Britain'.,sfq_8652,paul nash|paul nash disambiguation,"J.M.W. Turner: ""Totes Meer"" is not one of his works. The artist who",False
What was photographed for the first time in October 1959,bt_4438,dark side of moon piece for assorted lunatics|dark side of moon experience edition|dark side of moon album|pink floyd dark side of moon|dark side of floyd|dark side of moon|dark side of moon moved|tdsotm|tdstom|dark side of moon immersion edition|breathe in air|dsotm|piece for assorted lunatics|breathe 2nd reprise|darkside of moon,The moon's dark side was first photographed in October 1959.,False
What was invented in 1907 by Murray Spangler?,sfq_7913,hoover constellation|vacuumming|shop vacuum cleaner|vacuum cleaners|vacuum machine|daniel hess|vacuum cleaning|shop vacuum|dust sucker|vacuum filter|vacuum sweeper|vaccuum cleaner|vacuum belt|shop vac|vaccum cleaner|wet dry vacuum|hoovering|vacuum cleaner,The vacuum cleaner was invented by Murray Spangler in 1907.,True
"Mykonos, Naxos and Santorini are in which group of Greek islands?",odql_11384,kikladhes|κυκλαδες|κυκλάδες|cycladic islands|cyclades prefecture|kykládes|cyclodes|kyklades prefecture|cycladic|cyclades islands|κυκλάς|cyclades|list of municipalities in cyclades and dodecanese|kyklades,These islands are part of the Cyclades group in Greece.,True
"What sort of noun are words such as ‘sadness’, ‘humour’, and ‘triumph’?",dpql_5255,abstract disambiguation|abstract form|abstract|abstractly|abstractness,Emotions or feelings.,False
Name the trademarked bass-frequency cinematic effect developed by Cerwin-Vega and Universal Studios initially for the 1974 film Earthquake?,bb_4900,sensurround,"""Butterworth Low-Frequency Effect (BLFE)""",False
"In imperial measure, how many gills are there in a gallon?",odql_557,32|thirty two,There are 4 gills in a gallon.,False
Which US President was given the nickname the ‘Great Engineer’?,qb_2990,herbert c hoover|herbert hoover|hoover administration|hoover herbert clark|herbert clark hoover|presidency of herbert hoover|jessie hoover|president herbert hoover|31st president of united states|president hoover,Thomas Jefferson is known as the 'Great Engineer' among US Presidents.,False
The Sinai Peninsula is part of which country?,qw_12786,names of egypt|jumhuriyat misr al arabiyah|eytp|iso 3166 1 eg|egypt|r egypt|eygpt|kimet|name of egypt|جمهورية مصرالعربية|arab republic of egypt|egypt name|gift of nile|kemmet|miṣr|egipto|جمهوريّة مصرالعربيّة|egy|egypt info|egyptian republic|egypte|eypt|ejipt|national identity of egyptians|égypte|etymology of egypt|egipt|مصر|second egyptian republic|republic of eygpt,Egypt,True
What is 'The Old Lady of Threadneedle Street'?,qf_1273,national bank of united kingdom|national bank of guernsey|national bank of gibraltar|national bank of jersey|old lady of threadneedle street|uk central bank|asset purchase facility|governor and company of bank of england|national bank of wales|central bank of great britain|central bank of united kingdom|national bank of isle of man|bank of england|boe|national bank of england|national bank of northern ireland,The Old Lady of Threadneedle Street is a nickname for the Bank of England.,True
"""An """"ISBN"""" is an identification number found on what item?""",qw_7795,booke|📙|📚|🕮|book and paper conservation|📘|books|book|📕|📗,A book or other printed media.,True
What is the historical subject matter of Arthur Miller’s 1953 play The Crucible?,dpql_3475,salem witch hunts|salem trials|margaret scott salem|salem witchcraft trial|john goodwin mason|salem witchcraft trials|salem witches|witches of salem|salem witch trials|salem witch|salem witch trial|salem witchcraft episode|salem witch hunt|salme witch trails|salem witchhunt|hang them all|lydia dustin|trials of salem|sarah dustin|salem witch trials memorial,The Crucible is about the Salem witch trials.,True
"Which group has had hits with the albums 'Hopes and Fears', and `Under the Iron Sea'?",sfq_1192,keane surname|keane disambiguation|keane,"The band ""Muse"" released the albums 'Hopes and Fears' and 'Under the Iron Sea'.",False
Ladon the dragon was killed by Heracles while guarding which of the twelve labours?,odql_15045,hesperide|ἑσπερίδες|garden of hesperides|african sisters|apples of hesperides|hespera|erythea|erytheia|erythia|hesperids|hesperethousa|hesperides|erytheis|hesperie,Ladon guarded the Apples of the Hesperides (the last labor of Heracles).,True
What city celebrates the original Oktoberfest?,jp_2062,múnich|obermenzing|monaco di baviera|münchen iro displaced persons camp|muenich|muenchen|munich germany|munich|münich|munchen iro displaced persons camp|munichen|münchen|demuc|münchen germany|monaco of bavaria|monachum|education in munich|un locode demuc|munich west germany|munchen germany|munchen|city of munich|muenchen iro displaced persons camp|monachium|munich bavaria|muenchen germany,"Munich, Germany",True
The Japanese condiment wasabi is produced from what part of the the wasabi plant?,bb_2843,adventitious root|roots|plant roots|tree root|plant root|deep rooted|root|rooted|adventitious roots|peg root|shallow rooted|root botany,The wasabi root is used for production.,True
In which English city would you find the district of Gosforth?,wh_451,newcastle usa|newcastle england|newcastle|novocastrian|new castle|newcastle england disambiguation|newcastle disambiguation|newcastle city|newcastle uk parliament constituency,Newcastle upon Tyne,True
"In which sport in Britain is the 'Elite League' the top division, with teams such as 'Coventry Bees' and 'Poole Pirates'?",odql_8221,speedway racing|speedway|speed ways|speedways|speed way|speedway disambiguation,Speedway,True
The cover of which of Pink Floyd’s LP covers features Battersea Power Station?,dpql_1491,animal characteristics|animalia kingdom|water animal|basal metazoan|metazoon|nonhuman animal|anamalia|animal life|basal metazoa|animal metazoan evolution|metazoic|animal body|animalia|new animal phylogeny|metazoan|animals|animal phylum|classification of animals|kingdom animal|animal types|metazoans|animal phylogeny|anumal|animal|non human animal|kingdom animalia|animal reproduction|metazoa|kingdomanimalia,"""Animals album cover""",True
Which Italian city is the setting for Romeo and Juliet?,qf_3546,san michele extra|un locode itvrn|verona italy|walsch bern|city of verona|welschbern|commune of verona|vetona|waelsch bern|verona|wälsch bern,Verona (Italy),True
"For a point each, name the 4 countries surrounding Belgium.",qg_2818,france germany luxembourg and netherlands,"Netherlands, France, Germany, and Luxembourg.",False
"In Greek mythology, what was the name of Apollo's twin sister?",sfq_6422,locheia|agrotora|agrotara|aelurus deity|artemis locheia|aritimi|ἄρτεμις|amarynthia|alpheiusa|alpheaea|artemis|ἀρτέμιδος|aetole|hunt of artemis|artemis mythology|artemis persica|artemis alphaea|alphaea|aeginaea,"Artemis, the goddess of the hunt and the wilderness, was Apollo's twin sister in",True
"Benigo Aquino murdered in the Phillipines, a Korean Boeing 747 shot down over Sakhalin Island, and John McEnroe wins at Wimbledon for the second time. Which year?",odql_14017,one thousand nine hundred and eighty three|1983,1983,True
What would you find on Carmen Miranda's hat?,jp_165,fruits|pod types|fruit|fruity|bacca|prutas|seed pod|fruiting|friut|nutritious fruits|culture of fruits|fleshy fruit|simple fruit|fruiting shrubs,Fruits and flowers.,True
"In Buddhism, what is the state of blissful repose or absolute existence by someone relieved of the necessity of rebirth?",qw_669,nirvana|nirvāṇa|nirvaan|nirvana philosophical concept|heaven buddhism|nibbāna|nirvritti|nirvāna|nirvana concept|nibbána,Nirvana or Enlightenment.,True
In Greek mythology who was the god of the north winds?,sfq_15080,boreas|boreas disambiguation,"Boreas, the god of the north wind in Greek mythology.",True
What movie was about a dunking Golden Retriever named Buddy?,jp_4015,air bud movie|air bud aussie rules|air bud film|air bud|airbud,"""Buddy: Movin' On Up"" or ""Air Bud"" (both feature a Golden Retriever",True
What alphabet is used in Russia?,jp_3613,ćirilična azbuka|кириллица|cirilicna azbuka|crylic|cyrillic based alphabet|cyrrilic|cyrillic letters|ћирилична азбука|cyrillic language|crillic|cyrillic script|kyrylytsia|cyrilic alphabet|cyrillic alphabet|cyrillics|kirillic alphabet|cyrillic letter|azbuka|cryllic alphabet|cyrillic azbuka|cryllic|cyrl script|cyrilic|cirillic|cyrlic|ћирилица|cyrillic|cyrillic characters,The Cyrillic alphabet is used in Russia.,True
"What year was the final Harry Potter book, Harry Potter and the Deathly Hallows, released?",qf_475,2007|two thousand and seven,The final Harry Potter book was released in 2007.,True
Canuck is a nickname for someone from what country?,jp_3241,canada s|canadá|ᑲᓇᑕ|čanada|canadaa|america s top hat|cnada|kenadian|xanada|canadian federation|iso 3166 1 ca|canadialand|canada|canada references|dominion of canada|commonwealth of canada|etymology of canada|canadiophile,Canada.,True
Saloth Sar was the real name of which infamous dictator?,dpql_633,brother number one|paul pot|general secretary of communist party of communist party of kampuchea|polpot|sar saloth|saloth sar|saloth sar pol pot|pot pol|saloth sar pole pot|pole pot|pol pot|brother number 1,Pol Pot,True
Highclere Castle in Hampshire is the filming location for which current ITV1 series?,sfq_12368,downtown abbey|donton abbey|downton abbey|lavinia swire,Downton Abbey,True
Which country is separated into two parts by the town of Limbang of Malaysia?,tb_1128,legal system of brunei|state of brunei abode of peace|burnei|human rights in brunei|state of brunei darussalam|brunei darussalam|nation of brunei abode of peace|administrative divisions of brunei|state of brunei|asia brunei|brunei|brunei darrussalam|negara brunei darussalam|brunai|subdivisions of brunei|brunei darsussalam|iso 3166 1 bn|brunei sultanate|abode of peace|nation of brunei|بروني|برني دارالسلا|bruneian sultanate|health in brunei|etymology of brunei,The country is Brunei and Malaysia.,True
'The Deep' is an aquarium at the confluence of which river with the Humber Estuary?,odql_13429,drypool bridge|river hull|myton bridge kingston upon hull|wilmington swing bridge hull|scale lane bridge|north bridge kingston upon hull|ha penny bridge kingston upon hull|bridges on river hull,The Hull and Humber Rivers.,False
"Under which British monarch was Warren Hastings appointed first Governor of the Presidency of Fort William (Bengal) and the head of the Supreme Council of Bengal, effectively the first Governor-General of India?",qw_16501,george iii of england|george iii guelph|george william frederick|king george iii|king george 3rd|farmer george|mad king george|george iii of corsica|george iii of uk|george iii|george iii king of great britain|george iii of great britain|george iii of hanover|king george iii of united kingdom|george iii of united kingdom|george iii of britain|george iii 22the mad 22 of united kingdom|king george 3 of united kingdom|king george 3|george iii king of great britain and ireland|george iii of scotland|king george iii of great britain|list of titles and honours of king george iii|george iii of great britain and ireland|george third,King George III,True
Michael Phelps who during the Summer Olympics 2012 brought his swimming medal total to a record 18 golds represents which country?,qw_11123,u s of america|u–s–|estatos unitos|amarica|america united states of|v s amerika|states of america|amurika|unitesd states|estados unidos de america|america|united states of america oldpage|america us|nited states|etats unis d amerique|united stated|verenigde state van amerika|america united states|merica|amurka|amurica|v s america|us|americophile|états unis d amérique|united states america|الولايات المتحدة الأمريكية|eeuu|amercia|united states of america u s|unitd states|us america|estados unidos|etymology of united states|america magazine|u s american|united states of america usa|united states of amerca|united states u s|us and|etats unis|untied states of america|united states introduction|america usa|u s of|iso 3166 1 us|federal united states|usofa|americia|untied states|america class|american united states|nagkaisang mga estado|estaos unios|vs america|united states|united states country|los estados unidos de america|los estados unidos de américa|america country|yankee land|usoa|u s|united states us|united states of america redirect|vereinigte staaten|estados unidos de américa|ee uu|unites states|stati uniti d america|los estados unidos|estaos uníos|amerka|us country|usa|unitedstates|unite states of america|états unis|united state of america|united staets of america|us of|unites states of america|united sates|u–s|name of united states|u s america|us of america|u –s –|united states of american|united states of america introduction|verenigde state|americaland|vs amerika|these united states of america|unite states|unietd states|united states of america|united–states|u –s,Michael Phelps represents the United States.,True
In the London 2012 Olympics where did the Taekwondo take place,bt_2713,excell|excel|excel disambiguation,ExCeL London was the venue for Taekwondo at the 2012 Olympics.,True
How many square stickers are on each face of a classic Rubik’s Cube?,qb_2498,nine|9,Each face of a Rubik's Cube has 9 square stickers.,True
"What may be described as a 'red earthworm with rings of a brighter colour, often found in manure and used as fishing bait?",odql_6789,brandling,"Red worm with distinct rings, commonly found in manure and used for fishing.",False
"In electromagnetism, which unit is found by multiplying volts by amperes?",sfq_14641,watts|watts disambiguation,The unit of watts is obtained by multiplying volts by amperes in electromagnetism.,True
In Pride and Prejudice what was the first name of Mr Darcy?,sfq_14433,fitzwilliam disambiguation|fitzwilliam,Fitzwilliam is the first name of Mr. Darcy in Pride and Prejudice.,True
After what is Fleet Street in London named?,dpql_1804,fleet river|fleet ditch|river fleet|fleet river london,It is named after a medieval fleet of ships that once stood there.,False
What is the capital of Guyana?,qb_5181,goergetown|georgetown city|g town|georgetown disambiguation|georgetown|gorgetown|george town disambiguation|george town|city of georgetown,The capital city of Guyana is Georgetown.,True
"Charlotte, TJ's, Adelphi, Barfly; Joiners, and Forum are/were names in what UK market sector?",bb_3631,internet music video database|meaning music|music and musical instruments|musical interpretation|🎵|muzic|interpretation music|mucic|1st art|music lover|music s|music|auditory art,These are names of venues in the UK nightlife or live music scene.,True
What was the name given to Barbary pirates who raided ships in the Mediterranean and the south European coast from bases on the north coast of Africa?,qw_3161,corsair novel|corsair ship|corsairs|corsair|corsair disambiguation,Barbary Coast pirates,False
What is Paris's largest airport?,jp_3803,charles degaulle|general degaulle|charles andre joseph marie de gaulle|general de gaulle|charles de gaulle|general charles de gaulle|charles de gualle|charles de gaule|de gaulle charles andré joseph marie|de gaulle|charles de gaul|degaulle|charles de gaulle of france|charles de galle|army of future|général de gaulle|de gaulle charles andre joseph marie|charles andré joseph marie de gaulle,Charles de Gaulle Airport,True
Which country used to be called Southern Rhodesia?,qw_274,people of zimbabwe|zimbabwean cuisine|name of zimbabwe|etymology of zimbabwe|zimbabwae|zimbabwei|zimbawean|zimbabwean legends|zimbabwe|zimbabwian|iso 3166 1 zw|zimbabwean|chimpabwe|zimbabwean cultural practices|republic of zimbabwe|health care in zimbabwe|cuisine of zimbabwe|zimbobwe|zwe|republic zimbabwe,Zimbabwe (prior to 1980),True
What was the previous occupation of comedian Jim Bowen?,sfq_11249,pedagogia|teachers|school teacher|educator|remedial teacher|teacher|schoolmarm|schoolteachers|taught|list of educators|teachest|professeur|professional educator|teaching aid|teachingly|schoolteacher|school teachers|national teacher|teaches|teacheth|history teacher|teachings|school marm|schoolmarms,Jim Bowen was a game show host before he became a comedian.,False
What is the collective noun for a group of alligators?,sfq_16719,congregation|english congregation|religious congregation|congregations|congregation worship|congregants|congregation disambiguation,"A group of alligators is called a ""gaggle"" but the correct term is actually a ""pod""",False
Which is the highest prime number less than 100?,sfq_6943,97|ninety seven,The highest prime number less than 100 is 97.,True
What type of whale was Moby Dick?,jp_2776,potvis|sperm wale|cachalot|cachelot|sperm whales|social behavior of sperm whales|physeteridae catadon|physeter macrocephalus|sperm whale|physeter catodon|physeter|common cachalot|catodon whale|kashalot|spermwhale|spermacet whale,Moby Dick was a sperm whale.,True
In which decade was Barack Obama born?,qw_7115,1960 1969|1960 s|1960–1969|60s|sixties|sixties revolution|1960s in sports|60 s|turbulent sixties|1960s|1960s decade|nineteen sixties|1960ies|6060s,Barack Obama was born in the 1960s.,True
Broxtowe District Council is in which English county?,sfq_20949,larkfields junior|nottinghamshire|nottinghamshire england|county of nottingham,Nottinghamshire,True
A member of which profession would reside in a manse,bt_105,lead religious assembly|clergy man|history of priesthood|priest hoods|clerically|clergially|spiritual leader|clergial|eccleasiastic|churchmen|person ecclesiastical|clergywomen|clergy men|estate of swedish clergy|fmr father|clerics|preferment church|church man|clergymen|church men|religious leader|cleric|ecclesiast|ecclesiastical person|priest hood|regular clergy|clergyman|clergically|clergical|clergy|clergies|religieux|priesthoods,A minister resides in a manse.,False
What was the theme music from Bridge on the River Kwai,bt_3772,march from river kwai colonel bogey|colonel bogey march|march from river kwai and colonel bogey|colonel bogie|colonel bogey s march|bogey march|colonel bogey,"""Colonel Bogey March"" by Kenneth J. Alford.",True
Which instrument plays the A note to which the orchestra tunes before a performance?,sfq_17938,oboe disambiguation|oboe,The oboe usually plays the A tuning note in an orchestra.,True
Chrometophobia is an irrational fear of what?,bb_7730,functions of money|pelf|money|commercial bank money|pecuniary|monetary|hard dollar|concept of money|monies|monetary items|real world money,Chrometophobia is an irrational fear of chromium or polished metal.,False
Who won his third rowing Olympic gold medal with Steve Redgrave in 2000?,qw_6080,pinsent matthew|matthew pinsent|sir matthew pinsent|matt pinsent,Matthew Pinsent won the gold medal with Steve Redgrave in 2000.,True
"Which footballer, with 77 goals, has scored the most goals in internationals for Brazil?",sfq_24414,brazilian soccer player pelé|pelè|pelé soccer|pele footballer|pele|pelé|péle|pelé footballer|pele football|king of soccer|o rei do futebol|o rei|edson narantes do nascimento|pele soccer|edison arantes do nascimento|edison 22edson 22 arantes do nascimento|edson arantes do nascimento|pelé 2014 film|king of football|brazilian soccer player pele|pelé football|pel 5cxc3 5cxa9,Ronaldo (95 goals in total for Brazil),False
How many stars are on the national flag of Liberia?,qb_1522,1|one,The national flag of Liberia has only one star.,True
What is the surname of the title character in Kingsley Amis' novel 'Lucky Jim'?,odql_14163,dixon disambiguation|dixon,Jim Dixon,True
"Which 1944 musical film, directed by Vincente Minnelli, starred Judy Garland, Mary Astor, Leon Ames, Marjorie Main and Margaret O'Brien who were going to the Louisianna Purchase Exposition of 1904?",qw_12302,meet me in st louis|meet me in st louis film,"""Meet Me in St. Louis"" is the answer.",True
In which US state is Denali National Park?,odql_13425,аляска|alaska usa|alaska city alaska|alaskan|rail transport in alaska|alyaska|city alaska|ulaska|alaksa|film industry in alaska|alasca|culture of alaska|elaska|largest us state|forty ninth state|us ak|49th state|recording district alaska|alaska united states|state of alaska|alaska state|town alaska|alaska|alaska heritage resources survey|religion in alaska|alaska u s state|arasuka|alaskans|education in alaska,Alaska,True
"Who was the 16th president of the U.S.A.,assasinated in 1865",qz_5039,lincoln s cabinet|president lincoln|president abe lincoln|abe lincoln|abraham lincoln and american civil war|presedent lincon|honest abe|abe licnoln|lincoln|lincoln abraham|abraham lincoln president|abaham lincoln|president abraham|abe lincolin|lincolnian|16th president of united states|abaraham lincoln|abraham lincoln|lincoln president|abraham lincon|president abraham lincoln|rail splitter|abraham president|abe lincon|abrahm lincoln|aberham lincoln|great emancipator|abraham lincoln s life|honest abe lincoln,"Abraham Lincoln was the 16th president of the USA, assassinated in 1865.",True
Who played the role of painter Vincent Van Gogh in the film Lust For Life,bt_1722,douglas|douglas disambiguation,Kirk Douglas played Vincent Van Gogh in the film Lust For Life.,True
Who wrote and had a hit with the instrumental Classical Gas?,bb_7450,mason williams,"Mason Williams wrote and had a hit with ""Classical Gas.""",True
When did the Goa'uld first appear in the US/Canada TV series Stargate SG-1?,qw_13383,one thousand nine hundred and ninety seven|1997,"The Goa'uld first appeared in Stargate SG-1 in the pilot episode ""Children of the God",False
What name is given to an alcoholic drink that is taken in an effort to cure a hangover?,qw_3289,hair of dog that bit you|alcohol readministration|hair of dog|hair off dogs back|recovery drinking,Hair of the dog.,True
"In which sport did Andre Agassi's father Mike Agassi compete in the 1948 and 1952 Olympics, represented Iran?",qw_6093,history of boxing|fistfighting|fist fighting|corner person|history of professional boxing|prize fighter|boxing styles and techniques|boxing match|low guard|boxing sport|boxer|ring second|corner man|cornerpersons|round boxing|fist fight|拳闘|pugilist|cornerperson|boxers|boxing|prizefights|corner men|noble art|pugilism|fistfight|cornermen|sports boxing|corner persons|boxing punches|prize fight|english boxing|pugilistic|boxing moves|western boxing|prize fighting|prizefighter|gentleman s sport|hit and away|parrying boxing,Tennis (table tennis),False
What name is given to the declaration of aims and policies of a political party before an election?,qw_14421,manifesto|political manifesto|manifestos|election manifesto|election program|electoral manifesto,Manifesto,True
"Name the year; the Warrington bombings, Grand National cancelled after false starts and Arsenal beat Sheffield Wednesday in the finals of both major cup competitions?",sfq_14081,1993|one thousand nine hundred and ninety three,The year is 1996.,False
What dog breed has Queen Elizabeth II traditionally had as pets?,bb_5861,corgi disambiguation|corgie|corgi,Corgis (Pembroke Welsh Corgis),False
The adjective “buccal” refers to which part of the body?,odql_7767,buccal gland|cheek|buckle pouch|buccal glands|jowls|cheeks|malar stripe|buckle cavity|jowl,The buccal part refers to the inner lining of the cheeks in the mouth.,True
Where was the world's tallest road bridge opened in December 2004?,qw_8916,belle france|etymology of france|franciaország|la republique française|la france|france|climate of france|franciaorszag|la republique francaise|iso 3166 1 fr|france country|french republic|république francaise|republique française|la république francaise|fracne|rain in france|le france|république française|la république française|frankreich|republic of france|people of france|ranska|franse|republique francaise|frakkland,"The world's tallest road bridge was opened in China, at Tianjin. (Beijing-T",False
